Date;Payee;Memo;Outflow
08.07.2024;;Покупка RUS s. Schastlivo IP Ziyadinova E. E.;-536.00
08.07.2024;;Покупка RUS c. Schastlivo IP Mustafaeva L.T.;-579.00
08.07.2024;;Покупка RUS Moscow YANDEX*5815*PLUS;-699.00
08.07.2024;;Покупка RUS s. Tankovoe IP Govorkov A. A.;-240.00
08.07.2024;;Выдача наличных RUS BAHCHISARAY TSO-5908;-400.00
08.07.2024;;Покупка RUS SEVASTOPOL BEERLION;-3043.80
08.07.2024;;Покупка RUS SEVASTOPOL BEERLION;-384.00
06.07.2024;;Покупка RUS Sevastopol KANCTOVARY 5;35.00
08.07.2024;;Покупка RUS SEVASTOPOL PRODUKTY;-330.00
08.07.2024;;Покупка RUS SEVASTOPOL MAGAZIN BEERLION;-1307.60
07.07.2024;;Покупка RUS Sevastopol Magazin;2034.80
07.07.2024;;Покупка RUS Sevastopol Magazin;418.00
07.07.2024;;Покупка RUS Sevastopol MAGAZIN;192.00
