Дата операции;Дата обработки;Название операции;Сумма операции в валюте карты;Комиссия в валюте карты;Сумма операции в валюте операции;Валюта операции;Категория;Место операции
13.06.2024 16:49;13.06.2024;Оплата услуг Государственное унитарное предприятие города Севастополя "Водоканал";-700.00;0.00;-700.00;RUR;Другое;
14.06.2024 14:16;14.06.2024;Выплата по программе лояльности Выплаты по программе лояльности;684.36;0.00;684.36;RUR;;
15.06.2024 16:02;17.06.2024;Списание по переводу Т-О КСЕНИЯ С;-250.00;0.00;-250.00;RUR;Финансовые услуги;
16.06.2024 15:51;17.06.2024;Покупка RUS Golubinka Minimarket;-5.00;0.00;-5.00;RUR;Супермаркеты;
17.06.2024 11:31;17.06.2024;Пополнение СКС;2500.00;0.00;2500.00;RUR;;
18.06.2024 18:43;18.06.2024;Списание по переводу К-В ВЛАДИМИР Н;-400.00;0.00;-400.00;RUR;Финансовые услуги;
19.06.2024 06:37;19.06.2024;Покупка RUS Moscow YANDEX*5815*PLUS;-100.00;0.00;-100.00;RUR;Другое;
22.06.2024 12:25;24.06.2024;Списание по переводу Л-Я АННА Н;-300.00;0.00;-300.00;RUR;Финансовые услуги;
22.06.2024 12:32;24.06.2024;Выдача наличных RUS SEVASTOPOL ATM-8573;-4900.00;0.00;-4900.00;RUR;Наличные;
22.06.2024 14:05;24.06.2024;Покупка RUS GOROD MOSKVA BOOSTY.TO;-500.00;0.00;-500.00;RUR;НКО;
22.06.2024 14:12;24.06.2024;Списание перевода СБП;-400.00;0.00;-400.00;RUR;Другое;
22.06.2024 14:23;24.06.2024;Покупка RUS SEVASTOPOL NASTENKINY SOLENIYA;-228.00;0.00;-228.00;RUR;Супермаркеты;
22.06.2024 14:28;24.06.2024;Списание по переводу С-А НАТАЛИЯ Д;-590.00;0.00;-590.00;RUR;Финансовые услуги;
22.06.2024 14:34;24.06.2024;Покупка RUS SEVASTOPOL PARKOVKA;-150.00;0.00;-150.00;RUR;Транспорт;
22.06.2024 15:32;24.06.2024;Покупка RUS SEVASTOPOL AVTOMOIKA;-1990.00;0.00;-1990.00;RUR;Автоуслуги;
22.06.2024 15:32;24.06.2024;Покупка RUS SEVASTOPOL AVTOMOIKA;-280.00;0.00;-280.00;RUR;Автоуслуги;
22.06.2024 16:57;24.06.2024;Покупка RUS SEVASTOPOL PIVOVAR;-1390.00;0.00;-1390.00;RUR;Супермаркеты;
22.06.2024 19:03;24.06.2024;Покупка RUS s. Golubinka Minimarket;-200.00;0.00;-200.00;RUR;Супермаркеты;
23.06.2024 12:23;24.06.2024;Покупка RUS GOLUBINKA MAGAZIN SUPERMARKET;-1272.13;0.00;-1272.13;RUR;Супермаркеты;
23.06.2024 12:38;24.06.2024;Покупка RUS GOLUBINKA MAGAZIN;-1700.00;0.00;-1700.00;RUR;Автоуслуги;
23.06.2024 12:44;24.06.2024;Покупка RUS GOLUBINKA MAGAZIN "EDAVODA";-503.96;0.00;-503.96;RUR;Супермаркеты;
23.06.2024 12:48;24.06.2024;Покупка RUS s. Golubinka Magazin Koidesh;-330.00;0.00;-330.00;RUR;Супермаркеты;
23.06.2024 13:05;24.06.2024;Покупка RUS AROMAT PRODUKTY;-390.00;0.00;-390.00;RUR;Супермаркеты;
23.06.2024 13:07;24.06.2024;Покупка RUS Aromat IP Ablaev I.E.;-115.00;0.00;-115.00;RUR;Супермаркеты;
23.06.2024 17:54;24.06.2024;Списание по переводу с карты на карту RUS SIMFEROPOL MP2P4OUT;-507.50;0.00;-507.50;RUR;Финансовые услуги;
23.06.2024 20:24;24.06.2024;Списание по переводу с карты на карту RUS SIMFEROPOL MP2P4OUT;-507.50;0.00;-507.50;RUR;Финансовые услуги;
24.06.2024 11:28;24.06.2024;Списание перевода СБП;-10000.00;0.00;-10000.00;RUR;Другое;
25.06.2024 19:07;26.06.2024;Покупка RUS s. Golubinka Magazin Koidesh;-500.00;0.00;-500.00;RUR;Супермаркеты;
25.06.2024 19:10;26.06.2024;Покупка RUS Golubinka Minimarket;-384.00;0.00;-384.00;RUR;Супермаркеты;
25.06.2024 19:38;26.06.2024;Покупка RUS c. Schastlivo IP Mustafaeva L.T.;-600.00;0.00;-600.00;RUR;Супермаркеты;
26.06.2024 17:59;27.06.2024;Покупка RUS c. Schastlivo IP Mustafaeva L.T.;-1055.00;0.00;-1055.00;RUR;Супермаркеты;
26.06.2024 19:42;28.06.2024;Покупка RUS GOROD MOSKVA BOOSTY.TO;-150.00;0.00;-150.00;RUR;НКО;
27.06.2024 12:37;28.06.2024;Покупка RUS SURGUT EXIST.RU;-30536.00;0.00;-30536.00;RUR;Супермаркеты;
27.06.2024 17:25;27.06.2024;Списание по переводу С-О ОКСАНА С;-10000.00;0.00;-10000.00;RUR;Финансовые услуги;
27.06.2024 18:00;28.06.2024;Покупка RUS c. Schastlivo IP Mustafaeva L.T.;-678.00;0.00;-678.00;RUR;Супермаркеты;
27.06.2024 18:07;28.06.2024;Покупка RUS s. Schastlivo IP Ziyadinova E. E.;-375.00;0.00;-375.00;RUR;Супермаркеты;
27.06.2024 18:13;28.06.2024;Покупка RUS c. Schastlivo IP Mustafaeva L.T.;-177.00;0.00;-177.00;RUR;Супермаркеты;
