Дата операции;Дата обработки;Название операции;Сумма операции в валюте карты;Комиссия в валюте карты;Сумма операции в валюте операции;Валюта операции;Категория;Место операции
09.07.2024 18:25;10.07.2024;Покупка RUS s. Schastlivo IP Ziyadinova E. E.;-1416.00;0.00;-1416.00;RUR;Супермаркеты;
10.07.2024 10:23;11.07.2024;Покупка RUS BAKHCHISARAI OOO KEDR 62;-149.00;0.00;-149.00;RUR;Топливо;
10.07.2024 10:26;11.07.2024;Покупка RUS BAKHCHISARAI OOO KEDR 62;-3450.12;0.00;-3450.12;RUR;Топливо;
10.07.2024 11:55;11.07.2024;Покупка RUS s. Sokolinoe Kafe "Elken";-1170.00;0.00;-1170.00;RUR;Кафе/ресторан;
10.07.2024 12:43;11.07.2024;Покупка RUS Sankt-Peterbu Investmint.ru;-1999.00;0.00;-1999.00;RUR;Связь, телеком;
10.07.2024 14:35;11.07.2024;Покупка RUS s. Sokolinoe Kafe "Elken";-300.00;0.00;-300.00;RUR;Кафе/ресторан;
10.07.2024 14:54;11.07.2024;Покупка RUS s. Golubinka Minimarket;-1450.00;0.00;-1450.00;RUR;Супермаркеты;
10.07.2024 14:54;11.07.2024;Покупка RUS Golubinka Minimarket;-202.00;0.00;-202.00;RUR;Супермаркеты;
10.07.2024 14:56;11.07.2024;Покупка RUS Golubinka Bakaleia;-350.00;0.00;-350.00;RUR;Супермаркеты;
10.07.2024 15:24;11.07.2024;Покупка RUS s. Schastlivo IP Ziyadinova E. E.;-150.00;0.00;-150.00;RUR;Супермаркеты;
11.07.2024 10:07;11.07.2024;Перевод денежных средств по картам Банка Transfer;-1000.00;0.00;-1000.00;RUR;Другое;
11.07.2024 10:16;11.07.2024;Оплата услуг Публичное акционерное общество "Мобильные ТелеСистемы";-1000.00;0.00;-1000.00;RUR;Другое;
11.07.2024 13:48;12.07.2024;Покупка RUS GOLUBINKA MAGAZIN;-2000.00;0.00;-2000.00;RUR;Автоуслуги;
11.07.2024 14:23;11.07.2024;Покупка RUS s. Schastlivo IP Ziyadinova E. E.;2661.00;0.00;2661.00;RUR;;
11.07.2024 15:04;11.07.2024;Списание по переводу Л-О МАКСИМ В;-35000.00;0.00;-35000.00;RUR;Финансовые услуги;
12.07.2024 09:15;12.07.2024;Оплата услуг Счёт по сбору платежей за ЖКУ в г.Севастополь;-2660.00;0.00;-2660.00;RUR;Другое;
12.07.2024 09:21;12.07.2024;Покупка RUS Sevastopol Magazin;586.64;0.00;586.64;RUR;;
12.07.2024 13:12;12.07.2024;Выплата по программе лояльности Выплаты по программе лояльности;1114.41;0.00;1114.41;RUR;;
12.07.2024 13:19;12.07.2024;Выдача наличных RUS SEVASTOPOL ATM-5165;-3100.00;0.00;-3100.00;RUR;Наличные;
12.07.2024 13:26;12.07.2024;Покупка RUS g. Sevastopol IP Eshchenko A. A.;601.91;0.00;601.91;RUR;;
12.07.2024 13:29;12.07.2024;Покупка RUS SEVASTOPOL MAGAZIN MIASO I MIASOP;240.80;0.00;240.80;RUR;;
12.07.2024 13:30;12.07.2024;Покупка RUS SEVASTOPOL MAGAZIN MIASO I MIASOP;156.94;0.00;156.94;RUR;;
